x,y,contagem,sombra,densidade,area
0.01,1.2,7,1,0.23333333333333334,30
0.12,1.87,6,0,0.016666666666666666,360
0.28,3.73,6,0,0.007142857142857143,840
0.38,0.81,4,1,0.0044444444444444444,900
0.46,0.9,5,1,0.005555555555555556,900
0.46,2.24,6,0,0.006666666666666667,900
0.47,0.42,11,1,0.012222222222222223,900
0.47,0.91,8,1,0.008888888888888889,900
0.57,2.42,11,0,0.012222222222222223,900
0.59,0.24,5,1,0.006944444444444444,720
0.61,2.15,15,0,0.016666666666666666,900
0.67,0.29,4,1,0.004597701149425288,869.9999999999999
0.71,2.17,10,0,0.011111111111111112,900
0.83,0.06,3,1,0.016666666666666666,180
0.87,2.01,11,1,0.012222222222222223,900
1.06,3.08,8,0,0.008888888888888889,900
1.11,3.75,9,0,0.01,900
1.14,0.29,3,1,0.003448275862068966,869.9999999999999
1.2,0.45,6,1,0.006666666666666667,900
1.31,1.28,2,1,0.0022222222222222222,900
1.31,1.46,3,1,0.0033333333333333335,900
1.44,0.39,2,0,0.0022222222222222222,900
1.48,3.01,3,1,0.0033333333333333335,900
1.55,0.83,4,1,0.0044444444444444444,900
1.55,1.33,3,1,0.0033333333333333335,900
1.97,3.1,7,0,0.0077777777777777776,900
2,1.62,9,1,0.01,900
2.02,1.97,8,1,0.008888888888888889,900
2.05,0.47,4,1,0.0044444444444444444,900
2.09,3.3,9,0,0.01,900
2.12,2.87,5,0,0.005555555555555556,900
2.15,2.99,6,0,0.006666666666666667,900
2.21,1.66,7,1,0.0077777777777777776,900
2.59,1.34,2,1,0.0022222222222222222,900
2.61,0.8,5,1,0.005555555555555556,900
2.63,0.7,5,1,0.005555555555555556,900
2.7,2.13,7,0,0.0077777777777777776,900
2.8,0.86,9,1,0.01,900
2.83,1.06,5,1,0.005555555555555556,900
2.85,1.55,4,1,0.0044444444444444444,900
2.85,0.81,6,1,0.006666666666666667,900
2.93,3.01,3,1,0.0033333333333333335,900
2.93,0.06,1,1,0.005555555555555556,180
3.01,0.9,5,1,0.005555555555555556,900
3.07,2.53,3,1,0.0033333333333333335,900
3.25,2.89,4,0,0.0044444444444444444,900
3.28,0.14,5,1,0.011904761904761904,420
3.39,0.65,3,1,0.0033333333333333335,900
3.42,2.93,2,0,0.0022222222222222222,900
